size,method,rho,coordinates_1based
25,best_local,0.8829998341177083,7996 12068 13652 15768 16032 16717 17232 17237 17402 17990 18222 18647 18948 19222 19364 19543 19770 19908 21260 21265 21271 21337 21357 21523 21539
25,perron_prune_local,0.8861970816928396,7996 8298 12068 13652 15768 16032 17232 17237 17402 17990 18222 18647 18948 18967 19222 19543 19770 19908 20916 21337 21357 21426 21450 21523 21539
25,random_restart_local,0.8894885140039043,6919 7560 11167 11882 12006 12654 15758 16717 17185 17351 18212 18617 18940 19192 19814 20131 20283 20772 20832 21142 21265 21280 21419 21509 21559
25,small_pool_row_sum,0.9690778389622019,164 978 1046 1169 1466 1629 1677 1685 1872 2280 2850 2881 2931 3175 3257 3419 3745 3955 4071 4276 4989 5210 6187 6268 8707
25,large_P_leverage,1.093514846710712,20236 20466 20520 20616 20620 20638 20774 20790 20806 20818 20826 20840 20848 20880 20968 20980 21010 21098 21118 21126 21140 21162 21284 21304 21336
25,small_diag_absPi,1.1345736659070438,17142 17612 18212 18490 18948 21279 21280 21381 21395 21401 21407 21413 21419 21425 21431 21439 21505 21523 21531 21535 21539 21545 21553 21559 21567
25,large_diag_Q,1.1345736659070438,17142 17612 18212 18490 18948 21279 21280 21381 21395 21401 21407 21413 21419 21425 21431 21439 21505 21523 21531 21535 21539 21545 21553 21559 21567
25,large_AP_energy,1.263654215801818,7615 7616 7823 7824 7921 7922 7925 7926 8089 8176 8297 8298 11767 11768 11939 11940 11941 11942 12067 12068 12069 12285 12286 12549 12550
50,best_local,0.9397276189024069,489 2966 6919 7316 7352 7925 7996 8889 9117 11393 11891 12047 12229 12341 12439 13283 13834 14706 15056 15160 15339 15506 17142 17256 17416 17801 18230 18647 18848 19061 19202 19393 19454 19549 19777 19884 19985 20242 20511 20534 20752 20876 21095 21130 21160 21196 21279 21363 21505 21539
50,perron_prune_local,0.9428651911392979,489 2687 2966 3070 7316 7457 7881 7925 7996 8889 9117 11891 12229 12341 12439 12858 13283 13492 13834 14706 15056 15160 15339 15506 16538 17232 17249 17256 17416 17801 18624 18647 18848 19061 19202 19393 19454 19549 19892 20230 20242 20876 20910 21095 21160 21279 21363 21426 21523 21539
50,random_restart_local,0.9508176237719481,1131 4233 7292 7823 8421 8461 9280 11131 11570 11730 12006 12068 12131 12343 12404 12954 13281 13651 15056 15496 15666 16522 16822 17148 17255 17402 17614 18268 19037 19156 19289 19315 19364 19697 19778 19801 19979 20236 20379 20494 20547 20620 20864 21096 21130 21259 21375 21399 21449 21521
50,small_pool_row_sum,0.9940189541563353,164 978 1046 1143 1169 1466 1629 1677 1685 1872 2280 2674 2831 2850 2881 2931 3175 3257 3419 3479 3745 3955 4071 4276 4527 4885 4989 5049 5055 5090 5210 5356 5454 5536 5617 6105 6187 6268 6512 6594 7075 7570 7733 8064 8602 8707 10582 10908 13349 13594
50,large_P_leverage,1.1752536962082152,19964 20186 20236 20242 20270 20390 20412 20466 20490 20520 20534 20580 20594 20606 20616 20620 20626 20638 20644 20662 20666 20670 20774 20790 20802 20806 20818 20826 20840 20848 20880 20964 20968 20980 21010 21016 21020 21026 21080 21098 21118 21126 21140 21162 21262 21284 21304 21320 21336 21362
50,small_diag_absPi,1.198629071765941,15768 17086 17142 17402 17416 17612 17658 18162 18212 18484 18490 18940 18948 19704 20236 20488 20752 20832 20840 21022 21096 21118 21265 21266 21278 21279 21280 21357 21363 21381 21395 21401 21407 21413 21419 21425 21431 21439 21450 21464 21505 21523 21531 21535 21537 21539 21545 21553 21559 21567
