m,eta,largest_found,rho,pool_size,singleton_eligible_in_pool,singleton_eligible_global,min_abs_diag_Pi_global,rank_P_Q,rank_Pi,qr_rank,gram_condition
100,0.0,22,0.9999944253847441,700,700,21570,0.9382192189494564,100,21470,100,6.788279807712898
100,0.05,1,0.9382192189494564,700,2,2,0.9382192189494564,100,21470,100,6.788279807712898
100,0.15,0,inf,700,0,0,0.9382192189494564,100,21470,100,6.788279807712898
100,0.3,0,inf,700,0,0,0.9382192189494564,100,21470,100,6.788279807712898
100,0.45,0,inf,700,0,0,0.9382192189494564,100,21470,100,6.788279807712898
300,0.0,38,0.9998123059221296,700,700,21570,0.9114106903135064,290,21280,292,940268658.9183398
300,0.05,8,0.9486187051222936,700,58,58,0.9114106903135064,290,21280,292,940268658.9183398
300,0.15,0,inf,700,0,0,0.9114106903135064,290,21280,292,940268658.9183398
300,0.3,0,inf,700,0,0,0.9114106903135064,290,21280,292,940268658.9183398
300,0.45,0,inf,700,0,0,0.9114106903135064,290,21280,292,940268658.9183398
600,0.0,45,0.9992142610837684,700,700,21570,0.9028000932493658,563,21007,565,1378260.242063472
600,0.05,17,0.9495336840142107,700,309,1291,0.9028000932493658,563,21007,565,1378260.242063472
600,0.15,0,inf,700,0,0,0.9028000932493658,563,21007,565,1378260.242063472
600,0.3,0,inf,700,0,0,0.9028000932493658,563,21007,565,1378260.242063472
600,0.45,0,inf,700,0,0,0.9028000932493658,563,21007,565,1378260.242063472
1000,0.0,56,0.9994212618638194,700,700,21570,0.8774920155836493,915,20655,918,4398241017.962583
1000,0.05,27,0.9488573170413701,700,506,6721,0.8774920155836493,915,20655,918,4398241017.962583
1000,0.15,0,inf,700,0,0,0.8774920155836493,915,20655,918,4398241017.962583
1000,0.3,0,inf,700,0,0,0.8774920155836493,915,20655,918,4398241017.962583
1000,0.45,0,inf,700,0,0,0.8774920155836493,915,20655,918,4398241017.962583
1500,0.0,66,0.9987194181788323,700,700,21570,0.8463892567681164,1348,20222,1350,33413542416.814034
1500,0.05,38,0.9484558383571106,700,644,14670,0.8463892567681164,1348,20222,1350,33413542416.814034
1500,0.15,1,0.8463892567787115,700,1,1,0.8463892567681164,1348,20222,1350,33413542416.814034
1500,0.3,0,inf,700,0,0,0.8463892567681164,1348,20222,1350,33413542416.814034
1500,0.45,0,inf,700,0,0,0.8463892567681164,1348,20222,1350,33413542416.814034
2200,0.0,84,0.9991501990989532,1600,1600,21570,0.7947889547952371,1937,19633,1939,763768923679.0764
2200,0.05,55,0.9490047602235482,1600,1589,19715,0.7947889547952371,1937,19633,1939,763768923679.0764
2200,0.15,13,0.8484292953934998,1600,237,237,0.7947889547952371,1937,19633,1939,763768923679.0764
2200,0.3,0,inf,1600,0,0,0.7947889547952371,1937,19633,1939,763768923679.0764
2200,0.45,0,inf,1600,0,0,0.7947889547952371,1937,19633,1939,763768923679.0764
